CHEMICAL,DISEASE,relación,oración
penicillin allergy,allergy,otro,BACKGROUND: Up to 10% of children report having a penicillin allergy; however many of these are misdiagnoses or the allergy resolves over time.
aztreonam,P. aeruginosa,otro,"P. aeruginosa isolates demonstrated a high level of resistance to aztreonam (64.6%), while S. aureus exhibited significant resistance to cefoxitin and cefepime (88.24%), followed by aztreonam (82.35%) and amoxicillin-clavulanate (70.6%)."
cefoxitin,P. aeruginosa,otro,"P. aeruginosa isolates demonstrated a high level of resistance to aztreonam (64.6%), while S. aureus exhibited significant resistance to cefoxitin and cefepime (88.24%), followed by aztreonam (82.35%) and amoxicillin-clavulanate (70.6%)."
cefepime,P. aeruginosa,otro,"P. aeruginosa isolates demonstrated a high level of resistance to aztreonam (64.6%), while S. aureus exhibited significant resistance to cefoxitin and cefepime (88.24%), followed by aztreonam (82.35%) and amoxicillin-clavulanate (70.6%)."
aztreonam,P. aeruginosa,otro,"P. aeruginosa isolates demonstrated a high level of resistance to aztreonam (64.6%), while S. aureus exhibited significant resistance to cefoxitin and cefepime (88.24%), followed by aztreonam (82.35%) and amoxicillin-clavulanate (70.6%)."
amoxicillin-clavulanate,P. aeruginosa,otro,"P. aeruginosa isolates demonstrated a high level of resistance to aztreonam (64.6%), while S. aureus exhibited significant resistance to cefoxitin and cefepime (88.24%), followed by aztreonam (82.35%) and amoxicillin-clavulanate (70.6%)."
cefuroxime,pneumoniae,otro,"RESULTS: A total of 77/242(31.8%) of the recovered isolates was identified as Klebsiella pneumoniae and the resistance percentages were as follow: cefuroxime and cephradine (100%, 77/77), amoxicillin-clavulanic acid (98.7%, 76/77), while (27.3%, 21/77) of the isolates were MDR."
cephradine,pneumoniae,otro,"RESULTS: A total of 77/242(31.8%) of the recovered isolates was identified as Klebsiella pneumoniae and the resistance percentages were as follow: cefuroxime and cephradine (100%, 77/77), amoxicillin-clavulanic acid (98.7%, 76/77), while (27.3%, 21/77) of the isolates were MDR."
77/77,pneumoniae,otro,"RESULTS: A total of 77/242(31.8%) of the recovered isolates was identified as Klebsiella pneumoniae and the resistance percentages were as follow: cefuroxime and cephradine (100%, 77/77), amoxicillin-clavulanic acid (98.7%, 76/77), while (27.3%, 21/77) of the isolates were MDR."
amoxicillin-clavulanic acid,pneumoniae,otro,"RESULTS: A total of 77/242(31.8%) of the recovered isolates was identified as Klebsiella pneumoniae and the resistance percentages were as follow: cefuroxime and cephradine (100%, 77/77), amoxicillin-clavulanic acid (98.7%, 76/77), while (27.3%, 21/77) of the isolates were MDR."
amoxicillin-clavulanate,intra-abdominal infections,causa,The oral dosing regimen of sulopenem etzadroxil/probenecid 500 mg/500 mg administered every 12 hours was recently evaluated in two phase 3 clinical trials where sulopenem demonstrated efficacy against amoxicillin-clavulanate in uncomplicated urinary tract infection (uUTI) and against ciprofloxacin in fluoroquinolone-resistant uUTI.IMPORTANCESulopenem is an oral and intravenous penem antibiotic in clinical development for treatment of urinary tract and intra-abdominal infections caused by multidrug-resistant pathogens.
ciprofloxacin,intra-abdominal infections,causa,The oral dosing regimen of sulopenem etzadroxil/probenecid 500 mg/500 mg administered every 12 hours was recently evaluated in two phase 3 clinical trials where sulopenem demonstrated efficacy against amoxicillin-clavulanate in uncomplicated urinary tract infection (uUTI) and against ciprofloxacin in fluoroquinolone-resistant uUTI.IMPORTANCESulopenem is an oral and intravenous penem antibiotic in clinical development for treatment of urinary tract and intra-abdominal infections caused by multidrug-resistant pathogens.
non-carbapenem,bloodstream infections,otro,"The non-carbapenem antimicrobial susceptibility patterns of 60 ESBL-producing Enterobacterales (ESBL-PE) isolates responsible for bloodstream infections, in 2022-2023 inclusive, processed at our institution were reviewed."
non-carbapenem,bloodstream infections,otro,The non-carbapenem antimicrobial susceptibility patterns of 60 ESBL-PE isolates from bloodstream infections during the study period were determined.
carbapenem,ESBL-PE,otro,"The use of these agents not only broadens the therapeutic arsenal against ESBL-PE but also mitigates the potential for escalating carbapenem resistance, especially in regions where the incidence of carbapenem resistance is increasing."
carbapenem,ESBL-PE,otro,"The use of these agents not only broadens the therapeutic arsenal against ESBL-PE but also mitigates the potential for escalating carbapenem resistance, especially in regions where the incidence of carbapenem resistance is increasing."
Amoxicillin,infections,otro,"Amoxicillin (AMX), Azithromycin (AZT) and Ofloxacin (OFX) are the most commonly utilized antibiotics for the treatment of infections."
AMX,infections,otro,"Amoxicillin (AMX), Azithromycin (AZT) and Ofloxacin (OFX) are the most commonly utilized antibiotics for the treatment of infections."
Azithromycin,infections,otro,"Amoxicillin (AMX), Azithromycin (AZT) and Ofloxacin (OFX) are the most commonly utilized antibiotics for the treatment of infections."
AZT,infections,otro,"Amoxicillin (AMX), Azithromycin (AZT) and Ofloxacin (OFX) are the most commonly utilized antibiotics for the treatment of infections."
Ofloxacin,infections,otro,"Amoxicillin (AMX), Azithromycin (AZT) and Ofloxacin (OFX) are the most commonly utilized antibiotics for the treatment of infections."
OFX,infections,otro,"Amoxicillin (AMX), Azithromycin (AZT) and Ofloxacin (OFX) are the most commonly utilized antibiotics for the treatment of infections."
Zn,flaky,otro,"The characterization study revealed the presence of Zn, O and W and confirms the shape of the particle is flaky and spheroidal."
fluoroquinolones,Pseudomonas aeruginosa,otro,"Despite limited data, 7-10 days of antibiotics are currently recommended with coverage for Pseudomonas aeruginosa (eg, fluoroquinolones in adults, amoxicillin-clavulanate in children)."
amoxicillin-clavulanate,Pseudomonas aeruginosa,otro,"Despite limited data, 7-10 days of antibiotics are currently recommended with coverage for Pseudomonas aeruginosa (eg, fluoroquinolones in adults, amoxicillin-clavulanate in children)."
amikacin,pneumoniae,otro,"The common gram-negative organisms isolated were Klebsiella pneumoniae, Pseudomonas species, Escherichia coli, and Acinetobacter species, many of which were multidrug-resistant organisms and were sensitive to amikacin, amoxicillin-clavulanate, and ceftriaxone."
amikacin,Acinetobacter,otro,"The common gram-negative organisms isolated were Klebsiella pneumoniae, Pseudomonas species, Escherichia coli, and Acinetobacter species, many of which were multidrug-resistant organisms and were sensitive to amikacin, amoxicillin-clavulanate, and ceftriaxone."
amoxicillin-clavulanate,pneumoniae,otro,"The common gram-negative organisms isolated were Klebsiella pneumoniae, Pseudomonas species, Escherichia coli, and Acinetobacter species, many of which were multidrug-resistant organisms and were sensitive to amikacin, amoxicillin-clavulanate, and ceftriaxone."
amoxicillin-clavulanate,Acinetobacter,otro,"The common gram-negative organisms isolated were Klebsiella pneumoniae, Pseudomonas species, Escherichia coli, and Acinetobacter species, many of which were multidrug-resistant organisms and were sensitive to amikacin, amoxicillin-clavulanate, and ceftriaxone."
ceftriaxone,pneumoniae,otro,"The common gram-negative organisms isolated were Klebsiella pneumoniae, Pseudomonas species, Escherichia coli, and Acinetobacter species, many of which were multidrug-resistant organisms and were sensitive to amikacin, amoxicillin-clavulanate, and ceftriaxone."
ceftriaxone,Acinetobacter,otro,"The common gram-negative organisms isolated were Klebsiella pneumoniae, Pseudomonas species, Escherichia coli, and Acinetobacter species, many of which were multidrug-resistant organisms and were sensitive to amikacin, amoxicillin-clavulanate, and ceftriaxone."
quinolones,community-acquired infection,otro,"RESULTS: In the first week of hospitalization, the main microorganism isolated, from community-acquired infection, was Escherichia coli (132 isolates), with high levels of resistance to quinolones, followed by Klebsiella pneumoniae (82 isolates) and Staphylococcus aureus (64 isolates)."
amoxicillin,uveal effusion,causa,"PURPOSE: To describe an atypical case of bilateral uveal effusion, presumably triggered by amoxicillin, in a 10-year-old child with pneumonia."
amoxicillin,pneumonia,causa,"PURPOSE: To describe an atypical case of bilateral uveal effusion, presumably triggered by amoxicillin, in a 10-year-old child with pneumonia."
amoxicillin,pneumonia,otro,"He had a recent history of pneumonia, which had been treated with amoxicillin."
amoxicillin,uveal effusion,otro,"Based on these findings, uveal effusion was suspected, prompting the discontinuation of amoxicillin."
amoxicillin,uveal effusion,otro,"CONCLUSION: This case suggests a possible link between amoxicillin use and bilateral uveal effusion, a relationship not previously reported."
amoxicillin,uveal effusion,otro,Further research is needed to explore the potential role of amoxicillin in inducing uveal effusion.
amoxicillin,NC-SCA,otro,A dual S-scheme nanocellulose-based SnWO(4)/Cu(2)O/Ag(2)WO(4) (NC-SCA) heterojunction photocatalyst was synthesized via ultrasonication followed by a hydrothermal method for the efficient photodegradation of amoxicillin (AMX).
AMX,NC-SCA,otro,A dual S-scheme nanocellulose-based SnWO(4)/Cu(2)O/Ag(2)WO(4) (NC-SCA) heterojunction photocatalyst was synthesized via ultrasonication followed by a hydrothermal method for the efficient photodegradation of amoxicillin (AMX).
Aminopenicillins,Haemophilus influenzae infections,otro,Aminopenicillins are recommended agents for non-invasive Haemophilus influenzae infections.
NE,necrotic enteritis,causa,PURPOSE: To demonstrate the efficacy of the bacteriocinogenic Enterococcus faecalis 14 (E. faecalis 14) in the control of induced necrotic enteritis (NE) in broilers.
NE,Clostridium perfringens,otro,All groups were challenged with Clostridium perfringens 56 to induce NE.
neomycin,post-weaning diarrhea,otro,"To investigate this, studies, each in two pig herds, quantified resistant coliforms by culture method in pigs treated as flock or as individual animal treatments orally with neomycin against post-weaning diarrhea (PWD) or intramuscularly with amoxicillin to prevent umbilical infection."
neomycin,umbilical infection,otro,"To investigate this, studies, each in two pig herds, quantified resistant coliforms by culture method in pigs treated as flock or as individual animal treatments orally with neomycin against post-weaning diarrhea (PWD) or intramuscularly with amoxicillin to prevent umbilical infection."
amoxicillin,post-weaning diarrhea,otro,"To investigate this, studies, each in two pig herds, quantified resistant coliforms by culture method in pigs treated as flock or as individual animal treatments orally with neomycin against post-weaning diarrhea (PWD) or intramuscularly with amoxicillin to prevent umbilical infection."
amoxicillin,umbilical infection,otro,"To investigate this, studies, each in two pig herds, quantified resistant coliforms by culture method in pigs treated as flock or as individual animal treatments orally with neomycin against post-weaning diarrhea (PWD) or intramuscularly with amoxicillin to prevent umbilical infection."
amoxicillin-clavulanate,endocarditis,causa,These findings support considering amoxicillin-clavulanate as antibiotic prophylaxis before transcatheter aortic valve implantation procedures to mitigate the risk of infective endocarditis associated with enterococcal colonization.
fluoroquinolones,UTI,efecto_adverso,"OBJECTIVE: To reevaluate the effectiveness and adverse event profile for first-line antibiotics, fluoroquinolones, and oral beta-lactams for treating uncomplicated UTI in contemporary clinical practice."
fluoroquinolones,UTI,otro,"RESULTS: There were 57 585 episodes of UTI among 49 037 female patients (mean [SD] age, 51.7 [20.1]) years), with prescriptions for first-line antibiotics in 35 018 episodes (61%), fluoroquinolones in 21 140 episodes (37%), and beta-lactams in 1427 episodes (2%)."
bismuth,pylori,otro,This study aimed to compare the impact of H. pylori eradication with HDDT and bismuth quadruple therapy (BQT) on gut microbiota.
imipenem,Proteus,otro,"High susceptibility to imipenem was noted in Proteus spp., Pseudomonas spp., and Acinetobacter spp."
imipenem,Acinetobacter,otro,"High susceptibility to imipenem was noted in Proteus spp., Pseudomonas spp., and Acinetobacter spp."
amoxicillin,breast cancer,causa,"Additionally, the utilization of amoxicillin loaded in liposome (AMO@Liposome) for NK cell immunotherapy in a mouse breast cancer model resulted in an increased antitumor effect in comparison to without the treatment of AMO@Liposome."
amoxicillin,tumor,otro,These studies suggest that the strategy of using amoxicillin in NK cell immunotherapy has potential applications in the field of tumor therapy.
Amoxicillin,infections,otro,"Outcomes The most often suggested antibiotics for upper respiratory tract infections (URTIs) were Amoxicillin (n = 17, 8.1%), Clarithromycin (n = 20, 9.5%), and Moxifloxacin (n = 13, 6.2%), with 33.3% of medications dispensed without a prescription for URTIs."
Clarithromycin,infections,otro,"Outcomes The most often suggested antibiotics for upper respiratory tract infections (URTIs) were Amoxicillin (n = 17, 8.1%), Clarithromycin (n = 20, 9.5%), and Moxifloxacin (n = 13, 6.2%), with 33.3% of medications dispensed without a prescription for URTIs."
Moxifloxacin,infections,otro,"Outcomes The most often suggested antibiotics for upper respiratory tract infections (URTIs) were Amoxicillin (n = 17, 8.1%), Clarithromycin (n = 20, 9.5%), and Moxifloxacin (n = 13, 6.2%), with 33.3% of medications dispensed without a prescription for URTIs."
Cefixime,urinary tract infections,tratamiento,"Cefixime (n = 20, 9.5%) and ceftriaxone (n = 17, 8.1%) were the most often administered medications for urinary tract infections (UTIs)."
Cefixime,UTIs,tratamiento,"Cefixime (n = 20, 9.5%) and ceftriaxone (n = 17, 8.1%) were the most often administered medications for urinary tract infections (UTIs)."
ceftriaxone,urinary tract infections,tratamiento,"Cefixime (n = 20, 9.5%) and ceftriaxone (n = 17, 8.1%) were the most often administered medications for urinary tract infections (UTIs)."
ceftriaxone,UTIs,tratamiento,"Cefixime (n = 20, 9.5%) and ceftriaxone (n = 17, 8.1%) were the most often administered medications for urinary tract infections (UTIs)."
Metronidazole,diarrheal,otro,"Antibiotics were dispensed without a prescription for diarrheal diseases in over 50% of pharmacies, with Metronidazole (n = 23, 11%), Azithromycin (n = 16, 7.6%), and Rifaximin (n = 15, 7.1%) being the most often prescribed."
Azithromycin,diarrheal,otro,"Antibiotics were dispensed without a prescription for diarrheal diseases in over 50% of pharmacies, with Metronidazole (n = 23, 11%), Azithromycin (n = 16, 7.6%), and Rifaximin (n = 15, 7.1%) being the most often prescribed."
Rifaximin,diarrheal,otro,"Antibiotics were dispensed without a prescription for diarrheal diseases in over 50% of pharmacies, with Metronidazole (n = 23, 11%), Azithromycin (n = 16, 7.6%), and Rifaximin (n = 15, 7.1%) being the most often prescribed."
lysostaphin,S. aureus RN4220,otro,"The sensor, a QCM chip modified with the bacterium S. aureus RN4220 DeltatarM, was utilized to monitor the activity of the enzyme lysostaphin and the phage P68 as model lytic agents."
amoxicillin,S. aureus RN4220,otro,"Finally, the QCM-D biosensor was employed to evaluate the synergistic effect of subinhibitory concentrations of the antibiotic amoxicillin with the bacteriophage P68, enabling monitoring of the lysis of P68-resistant wild-type strain S. aureus RN4220."
granulocyte-colony,febrile neutropenia,otro,"RECENT FINDINGS: Introduction of risk-stratification, expanded use of granulocyte-colony stimulating factor and oral treatment for selected patients and rapid administration of antibiotics revolutionized the treatment of febrile neutropenia."
metronidazole,pylori,otro,"RESULTS: The primary resistance rates of H. pylori to metronidazole, levofloxacin, clarithromycin, and amoxicillin were 94.1% (207/220), 42.7% (95/220), 41.4% (91/220), and 0.9% (2/220), respectively; however, no resistance to furazolidone and tetracycline was observed."
levofloxacin,pylori,otro,"RESULTS: The primary resistance rates of H. pylori to metronidazole, levofloxacin, clarithromycin, and amoxicillin were 94.1% (207/220), 42.7% (95/220), 41.4% (91/220), and 0.9% (2/220), respectively; however, no resistance to furazolidone and tetracycline was observed."
clarithromycin,pylori,otro,"RESULTS: The primary resistance rates of H. pylori to metronidazole, levofloxacin, clarithromycin, and amoxicillin were 94.1% (207/220), 42.7% (95/220), 41.4% (91/220), and 0.9% (2/220), respectively; however, no resistance to furazolidone and tetracycline was observed."
amoxicillin,pylori,otro,"RESULTS: The primary resistance rates of H. pylori to metronidazole, levofloxacin, clarithromycin, and amoxicillin were 94.1% (207/220), 42.7% (95/220), 41.4% (91/220), and 0.9% (2/220), respectively; however, no resistance to furazolidone and tetracycline was observed."
furazolidone,pylori,otro,"RESULTS: The primary resistance rates of H. pylori to metronidazole, levofloxacin, clarithromycin, and amoxicillin were 94.1% (207/220), 42.7% (95/220), 41.4% (91/220), and 0.9% (2/220), respectively; however, no resistance to furazolidone and tetracycline was observed."
tetracycline,pylori,otro,"RESULTS: The primary resistance rates of H. pylori to metronidazole, levofloxacin, clarithromycin, and amoxicillin were 94.1% (207/220), 42.7% (95/220), 41.4% (91/220), and 0.9% (2/220), respectively; however, no resistance to furazolidone and tetracycline was observed."
alcohol,pulmonary actinomycosis,otro,"Combined risk factors such as total gastrectomy, heavy alcohol consumption, smoking, and poor oral hygiene may contribute to the development of pulmonary actinomycosis."
alcohol,pulmonary actinomycosis,causa,"Here, we present a rare case of pulmonary actinomycosis triggered by total gastrectomy and heavy alcohol consumption."
alcohol,lung cancer,otro,"With a history of total gastrectomy and heavy alcohol consumption, the patient underwent imaging studies that initially suggested lung cancer."
ceftriaxone,Salmonella infections,otro,"Four drugs-azithromycin, ceftriaxone, ciprofloxacin, and amoxicillin-are commonly used to treat Salmonella infections, and all four drugs were included in this review."
ciprofloxacin,Salmonella infections,otro,"Four drugs-azithromycin, ceftriaxone, ciprofloxacin, and amoxicillin-are commonly used to treat Salmonella infections, and all four drugs were included in this review."
azithromycin,Salmonella infections,otro,"This review found that, of these, azithromycin and ceftriaxone were more effective in treating Salmonella infections based on the patient's length of stay in the hospital and the rate at which the fever was resolved."
azithromycin,fever,otro,"This review found that, of these, azithromycin and ceftriaxone were more effective in treating Salmonella infections based on the patient's length of stay in the hospital and the rate at which the fever was resolved."
ceftriaxone,Salmonella infections,otro,"This review found that, of these, azithromycin and ceftriaxone were more effective in treating Salmonella infections based on the patient's length of stay in the hospital and the rate at which the fever was resolved."
ceftriaxone,fever,otro,"This review found that, of these, azithromycin and ceftriaxone were more effective in treating Salmonella infections based on the patient's length of stay in the hospital and the rate at which the fever was resolved."
Fluoroquinolones,Salmonella infection,otro,Fluoroquinolones are also effective in treating Salmonella infection but are not approved for use in children.
Azithromycin,Salmonella infection,causa,Azithromycin was found to be the physicians' preferred choice of medication for Salmonella infection due to its less resistance development.
ampicillin,nalidixic acid,otro,"Phenotypically, most of the strains were fully (100 %) resistant to ampicillin, amoxicillin, cefuroxime, ceftazidime, and nalidixic acid."
amoxicillin,nalidixic acid,otro,"Phenotypically, most of the strains were fully (100 %) resistant to ampicillin, amoxicillin, cefuroxime, ceftazidime, and nalidixic acid."
cefuroxime,nalidixic acid,otro,"Phenotypically, most of the strains were fully (100 %) resistant to ampicillin, amoxicillin, cefuroxime, ceftazidime, and nalidixic acid."
ceftazidime,nalidixic acid,otro,"Phenotypically, most of the strains were fully (100 %) resistant to ampicillin, amoxicillin, cefuroxime, ceftazidime, and nalidixic acid."
Amoxicillin,erythema migrans,tratamiento,"Amoxicillin is commonly used to treat erythema migrans in the first stage of Lyme disease in children, with a recommended dose of 50 mg/kg/day, administered three times a day (q8h)."
Amoxicillin,Lyme disease,tratamiento,"Amoxicillin is commonly used to treat erythema migrans in the first stage of Lyme disease in children, with a recommended dose of 50 mg/kg/day, administered three times a day (q8h)."
q8h,erythema migrans,tratamiento,"Amoxicillin is commonly used to treat erythema migrans in the first stage of Lyme disease in children, with a recommended dose of 50 mg/kg/day, administered three times a day (q8h)."
q8h,Lyme disease,tratamiento,"Amoxicillin is commonly used to treat erythema migrans in the first stage of Lyme disease in children, with a recommended dose of 50 mg/kg/day, administered three times a day (q8h)."
amoxicillin,cutaneous anthrax,otro,"The patient was clinically diagnosed with probable cutaneous anthrax, and was treated with amoxicillin 500 mg orally t.i.d."
paracetamol,fever,otro,for three days and paracetamol 500 mg if fever developed.
mug/mL,S. pseudintermedius,otro,"Results: S. aureus had a higher resistance rate (35.89%) than S. pseudintermedius (15.27%), with MIC50 values of 0.50 mug/mL and 0.25 mug/mL, respectively."
High-dose amoxicillin,S. pseudintermedius infections,otro,"High-dose amoxicillin therapy is recommended to achieve optimal therapeutic outcomes for resistant SA, while slightly adjusted dosing can manage S. pseudintermedius infections."
ampicillin,CIA,otro,"Antibiogram data, assessed per WHO guidelines for Critically Important antimicrobials (CIA), showed the highest resistance levels in both clinical and wastewater samples for ampicillin, followed by amoxicillin/clavulanic acid and nalidixic acid, all classified as Critically Important."
amoxicillin/clavulanic acid,CIA,otro,"Antibiogram data, assessed per WHO guidelines for Critically Important antimicrobials (CIA), showed the highest resistance levels in both clinical and wastewater samples for ampicillin, followed by amoxicillin/clavulanic acid and nalidixic acid, all classified as Critically Important."
nalidixic acid,CIA,otro,"Antibiogram data, assessed per WHO guidelines for Critically Important antimicrobials (CIA), showed the highest resistance levels in both clinical and wastewater samples for ampicillin, followed by amoxicillin/clavulanic acid and nalidixic acid, all classified as Critically Important."
ceftazidime,MDR,otro,About 82% (36/44) of isolates were MDR and high resistance level was observed for amoxicillin + clavulanic acid and ceftazidime.
IPC,infection,otro,It is therefore crucial to implement antimicrobial stewardship programs in the country and infection prevention and control (IPC) measures in hospital settings.
amoxicillin,periodontitis,otro,"MATERIALS AND METHODS: In this study, subgingival plaques were collected from 10 periodontitis patients and 11 periodontally healthy volunteers, and their microbiota response to selective pressure of four antibiotics (amoxicillin, metronidazole, clindamycin, and tetracycline) were evaluated through 16S rRNA gene amplicon and metagenomic sequencing analysis."
metronidazole,periodontitis,otro,"MATERIALS AND METHODS: In this study, subgingival plaques were collected from 10 periodontitis patients and 11 periodontally healthy volunteers, and their microbiota response to selective pressure of four antibiotics (amoxicillin, metronidazole, clindamycin, and tetracycline) were evaluated through 16S rRNA gene amplicon and metagenomic sequencing analysis."
clindamycin,periodontitis,otro,"MATERIALS AND METHODS: In this study, subgingival plaques were collected from 10 periodontitis patients and 11 periodontally healthy volunteers, and their microbiota response to selective pressure of four antibiotics (amoxicillin, metronidazole, clindamycin, and tetracycline) were evaluated through 16S rRNA gene amplicon and metagenomic sequencing analysis."
tetracycline,periodontitis,otro,"MATERIALS AND METHODS: In this study, subgingival plaques were collected from 10 periodontitis patients and 11 periodontally healthy volunteers, and their microbiota response to selective pressure of four antibiotics (amoxicillin, metronidazole, clindamycin, and tetracycline) were evaluated through 16S rRNA gene amplicon and metagenomic sequencing analysis."
amoxicillin,periodontitis,otro,Significant differences were also observed for the microbial community between with and without antibiotics (especially amoxicillin and tetracycline) treated in periodontitis group.
tetracycline,periodontitis,otro,Significant differences were also observed for the microbial community between with and without antibiotics (especially amoxicillin and tetracycline) treated in periodontitis group.
amoxicillin,periodontitis,otro,"CONCLUSION: Overall, after the two antibiotics (amoxicillin and tetracycline) exposed, the oral subgingival microbiota in periodontitis patients exhibited different diversity and composition."
tetracycline,periodontitis,otro,"CONCLUSION: Overall, after the two antibiotics (amoxicillin and tetracycline) exposed, the oral subgingival microbiota in periodontitis patients exhibited different diversity and composition."
amoxicillin/clavulanic acid,pain,otro,"Consequently, he was admitted to the ward on antibiotics (amoxicillin/clavulanic acid), nifedipine for vasodilation, and opioids for pain control."
nifedipine,pain,otro,"Consequently, he was admitted to the ward on antibiotics (amoxicillin/clavulanic acid), nifedipine for vasodilation, and opioids for pain control."
iloprost,necrosis,otro,"However, his condition deteriorated, with progressive necrosis necessitating escalation of therapy to iloprost infusion and bosentan."
bosentan,necrosis,otro,"However, his condition deteriorated, with progressive necrosis necessitating escalation of therapy to iloprost infusion and bosentan."
ceftriaxone,community-acquired pneumonia,otro,"The most commonly prescribed antimicrobial was ceftriaxone (16.9%, n = 523), and the most common indication was empiric prescribing for community-acquired pneumonia (16.0%, n = 497)."
Amoxicillin-clavulanic acid,chronic obstructive pulmonary disease,otro,"Amoxicillin-clavulanic acid (53.2%, n = 99), and acute exacerbation of chronic obstructive pulmonary disease (54.3%, n = 57), were the antimicrobial and indication with the lowest rates of appropriateness respectively."
ceftriaxone,AMS,otro,Recommended targets for AMS interventions are the excessive and inappropriate use of broad-spectrum antimicrobials such as ceftriaxone and amoxicillin-clavulanic acid in common respiratory and urinary tract infections.
ceftriaxone,infections,otro,Recommended targets for AMS interventions are the excessive and inappropriate use of broad-spectrum antimicrobials such as ceftriaxone and amoxicillin-clavulanic acid in common respiratory and urinary tract infections.
amoxicillin-clavulanic acid,AMS,otro,Recommended targets for AMS interventions are the excessive and inappropriate use of broad-spectrum antimicrobials such as ceftriaxone and amoxicillin-clavulanic acid in common respiratory and urinary tract infections.
amoxicillin-clavulanic acid,infections,otro,Recommended targets for AMS interventions are the excessive and inappropriate use of broad-spectrum antimicrobials such as ceftriaxone and amoxicillin-clavulanic acid in common respiratory and urinary tract infections.
swine,death,causa,"INTRODUCTION: Glaesserella parasuis causes Glasser's disease in pigs, a leading cause of death in swine herds and a major contributor to economic losses in the global swine industry."
swine,death,causa,"INTRODUCTION: Glaesserella parasuis causes Glasser's disease in pigs, a leading cause of death in swine herds and a major contributor to economic losses in the global swine industry."
tetracycline,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
amoxicillin,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
erythromycin,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
florfenicol,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
chloramphenicol,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
catA3,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
enrofloxacin,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
ParC,erm(T,causa,"Analysis of whole-genome sequences revealed that resistance to tetracycline, amoxicillin, erythromycin, florfenicol, and chloramphenicol was frequently associated with the resistance genes tet(B) or tet(H), bla (ROB-1) , erm(T), floR, and catA3, and enrofloxacin resistance was associated with mutations in GyrA, ParC, and ParE. MLST identified 25 STs, of which, 14 were novel."
ceftriaxone,AMS,otro,"RESULTS: Introducing AMS ward rounds was followed by new or accelerated declines in ceftriaxone, ciprofloxacin, amoxicillin-clavulanate, meropenem and piperacillin-tazobactam use at Hospital-1."
ciprofloxacin,AMS,otro,"RESULTS: Introducing AMS ward rounds was followed by new or accelerated declines in ceftriaxone, ciprofloxacin, amoxicillin-clavulanate, meropenem and piperacillin-tazobactam use at Hospital-1."
amoxicillin-clavulanate,AMS,otro,"RESULTS: Introducing AMS ward rounds was followed by new or accelerated declines in ceftriaxone, ciprofloxacin, amoxicillin-clavulanate, meropenem and piperacillin-tazobactam use at Hospital-1."
meropenem,AMS,otro,"RESULTS: Introducing AMS ward rounds was followed by new or accelerated declines in ceftriaxone, ciprofloxacin, amoxicillin-clavulanate, meropenem and piperacillin-tazobactam use at Hospital-1."
piperacillin-tazobactam,AMS,otro,"RESULTS: Introducing AMS ward rounds was followed by new or accelerated declines in ceftriaxone, ciprofloxacin, amoxicillin-clavulanate, meropenem and piperacillin-tazobactam use at Hospital-1."
PRS,autoimmune diseases,causa,More common causes of PRS are tied to autoimmune diseases.
